Time [s],Packet,Type,Identifier,Control,Data,CRC,ACK
0.006985625,14,DATA,0x10210046,0x8,0xFF 0xF8 0xFF 0xEE 0x00 0x0E 0x00 0x01,0x1830,ACK
0.008347,15,DATA,0x00400003,0x8,0x05 0x05 0x05 0x05 0x05 0x05 0x05 0x05,0x492A,ACK
0.00867125,16,DATA,0x10210046,0x8,0x02 0xC4 0xFF 0x01 0xFC 0x34 0x00 0x01,0x0219,ACK
0.00881225,17,DATA,0x10210046,0x8,0xFF 0xF8 0xFF 0xEE 0x00 0x0E 0x00 0x01,0x1830,ACK
0.0100175,18,DATA,0x00400003,0x8,0x05 0x05 0x05 0x05 0x05 0x05 0x05 0x05,0x492A,ACK
0.0101865,19,DATA,0x10210046,0x8,0x02 0xC4 0xFF 0x01 0xFC 0x34 0x00 0x01,0x0219,ACK
0.010327625,20,DATA,0x10210046,0x8,0xFF 0xF8 0xFF 0xEE 0x00 0x0E 0x00 0x01,0x1830,ACK
0.01168775,21,DATA,0x00400003,0x8,0x05 0x05 0x05 0x05 0x05 0x05 0x05 0x05,0x492A,ACK
0.012008875,22,DATA,0x10210046,0x8,0x02 0xC5 0xFF 0x02 0xFC 0x36 0x00 0x01,0x3C78,ACK
0.01214925,23,DATA,0x10210046,0x8,0xFF 0xF8 0xFF 0xEE 0x00 0x0E 0x00 0x01,0x1830,ACK
0.0133575,24,DATA,0x00400003,0x8,0x05 0x05 0x05 0x05 0x05 0x05 0x05 0x05,0x492A,ACK
0.0135225,25,DATA,0x10210046,0x8,0x02 0xC5 0xFF 0x02 0xFC 0x36 0x00 0x01,0x3C78,ACK
0.0136625,26,DATA,0x10210046,0x8,0xFF 0xF8 0xFF 0xEE 0x00 0x0E 0x00 0x01,0x1830,ACK
0.01502775,27,DATA,0x00400003,0x8,0x05 0x05 0x05 0x05 0x05 0x05 0x05 0x05,0x492A,ACK
0.015348875,28,DATA,0x10210046,0x8,0x02 0xC5 0xFF 0x02 0xFC 0x35 0x00 0x01,0x69DD,ACK
0.015489125,29,DATA,0x10210046,0x8,0xFF 0xF8 0xFF 0xEE 0x00 0x0E 0x00 0x01,0x1830,ACK
0.0166985,30,DATA,0x00400003,0x8,0x05 0x05 0x05 0x05 0x05 0x05 0x05 0x05,0x492A,ACK
0.016863375,31,DATA,0x10210046,0x8,0x02 0xC5 0xFF 0x02 0xFC 0x35 0x00 0x01,0x69DD,ACK
0.0170035,32,DATA,0x10210046,0x8,0xFF 0xF8 0xFF 0xEE 0x00 0x0E 0x00 0x01,0x1830,ACK
0.01836775,33,DATA,0x00400003,0x8,0x05 0x05 0x05 0x05 0x05 0x05 0x05 0x05,0x492A,ACK
0.018690875,34,DATA,0x10210046,0x8,0x02 0xC6 0xFF 0x02 0xFC 0x33 0x00 0x01,0x5804,ACK
0.018832125,35,DATA,0x10210046,0x8,0xFF 0xF8 0xFF 0xEE 0x00 0x0E 0x00 0x01,0x1830,ACK
0.020038375,36,DATA,0x00400003,0x8,0x05 0x05 0x05 0x05 0x05 0x05 0x05 0x05,0x492A,ACK
0.020212625,37,DATA,0x10210046,0x8,0x02 0xC6 0xFF 0x02 0xFC 0x33 0x00 0x01,0x5804,ACK
0.020353875,38,DATA,0x10210046,0x8,0xFF 0xF8 0xFF 0xEE 0x00 0x0E 0x00 0x01,0x1830,ACK
0.021708125,39,DATA,0x00400003,0x8,0x05 0x05 0x05 0x05 0x05 0x05 0x05 0x05,0x492A,ACK
0.02203425,40,DATA,0x10210046,0x8,0x02 0xC3 0xFE 0xFF 0xFC 0x3A 0x00 0x01,0x2064,ACK
0.02217525,41,DATA,0x10210046,0x8,0xFF 0xF8 0xFF 0xEE 0x00 0x0E 0x00 0x01,0x1830,ACK
0.023378375,42,DATA,0x00400003,0x8,0x05 0x05 0x05 0x05 0x05 0x05 0x05 0x05,0x492A,ACK
0.023543625,43,DATA,0x10210046,0x8,0x02 0xC3 0xFE 0xFF 0xFC 0x3A 0x00 0x01,0x2064,ACK
0.023684875,44,DATA,0x10210046,0x8,0xFF 0xF8 0xFF 0xEE 0x00 0x0E 0x00 0x01,0x1830,ACK
0.025049125,45,DATA,0x00400003,0x8,0x05 0x05 0x05 0x05 0x05 0x05 0x05 0x05,0x492A,ACK
0.02537525,46,DATA,0x10210046,0x8,0x02 0xBF 0xFE 0xFE 0xFC 0x40 0x00 0x01,0x7EF8,ACK
0.02551925,47,DATA,0x10210046,0x8,0xFF 0xF8 0xFF 0xEE 0x00 0x0E 0x00 0x01,0x1830,ACK
0.026719375,48,DATA,0x00400003,0x8,0x05 0x05 0x05 0x05 0x05 0x05 0x05 0x05,0x492A,ACK
0.0268845,49,DATA,0x10210046,0x8,0x02 0xBF 0xFE 0xFE 0xFC 0x40 0x00 0x01,0x7EF8,ACK
0.027028875,50,DATA,0x10210046,0x8,0xFF 0xF8 0xFF 0xEE 0x00 0x0E 0x00 0x01,0x1830,ACK
0.028389125,51,DATA,0x00400003,0x8,0x05 0x05 0x05 0x05 0x05 0x05 0x05 0x05,0x492A,ACK
0.028710125,52,DATA,0x10210046,0x8,0x02 0xC5 0xFF 0x00 0xFC 0x2E 0x00 0x01,0x064F,ACK
0.02885025,53,DATA,0x10210046,0x8,0xFF 0xF8 0xFF 0xEE 0x00 0x0E 0x00 0x01,0x1830,ACK
0.030059375,54,DATA,0x00400003,0x8,0x05 0x05 0x05 0x05 0x05 0x05 0x05 0x05,0x492A,ACK
0.0302245,55,DATA,0x10210046,0x8,0x02 0xC5 0xFF 0x00 0xFC 0x2E 0x00 0x01,0x064F,ACK
0.0303645,56,DATA,0x10210046,0x8,0xFF 0xF8 0xFF 0xEE 0x00 0x0E 0x00 0x01,0x1830,ACK
0.031729625,57,DATA,0x00400003,0x8,0x05 0x05 0x05 0x05 0x05 0x05 0x05 0x05,0x492A,ACK
